Object.Name	LG	Start.cM	Stop.cM	Object.Type
138GA26	O	105.4	105.4	SSR
A006_1	B1	64.76	64.76	RFLP
A007_1	I	95.13	95.13	RFLP
A018_1	B2	53.54	53.54	RFLP
A020_1	G	55.66	55.66	RFLP
A023_1	L	36.7	36.7	RFLP
A036_1	H	34.29	34.29	RFLP
A043_1	B2	11.35	11.35	RFLP
A053_1	E	21.04	21.04	RFLP
A053_2	A1	34.54	34.54	RFLP
A059_1	C1	18.62	18.62	RFLP
A059_2	C2	21.71	21.71	RFLP
A060_1	J	20.79	20.79	RFLP
A060_2	M	40.34	40.34	RFLP
A063_1	C1	90.72	90.72	RFLP
A063_2	C2	102.9	102.9	RFLP
A064_1	M	124.2	124.2	RFLP
A064_2	D2	9.95	9.95	RFLP
A064_3	A1	42.08	42.08	RFLP
A064_4	J	14.6	14.6	RFLP
A065_1	A2	133.05	133.05	RFLP
A065_3	K	53.9	53.9	RFLP
A069_1	H	33.16	33.16	RFLP
A069_2	E	23.7	23.7	RFLP
A071_1	L	52.38	52.38	RFLP
A071_10	N	9.66	9.66	RFLP
A071_2	N	30.35	30.35	RFLP
A071_3	N	10.16	10.16	RFLP
A071_4	N	10.26	10.26	RFLP
A071_5	L	46.04	46.04	RFLP
A071_6	N	10.4	10.4	RFLP
A073_1	G	65.55	65.55	RFLP
A074_1	C1	133.97	133.97	RFLP
A078_1	C1	19.83	19.83	RFLP
A081_1	O	21.33	21.33	RFLP
A082_1	A1	102.3	102.3	RFLP
A083_1	D2	62.54	62.54	RFLP
A083_2	A1	17.82	17.82	RFLP
A083_3	F	133.89	133.89	RFLP
A085_1	A2	32.22	32.22	RFLP
A086_1	E	21.9	21.9	RFLP
A089_1	H	33.63	33.63	RFLP
A089_2	B1	59.66	59.66	RFLP
A095_1	D2	0	0	RFLP
A096_1	A1	51.79	51.79	RFLP
A096_2	A2	107.36	107.36	RFLP
A096_3	G	54.7	54.7	RFLP
A102_1	I	79.5	79.5	RFLP
A102_2	O	114.44	114.44	RFLP
A104_1	A1	92.3	92.3	RFLP
A106_1	L	29.59	29.59	RFLP
A109_1	B1	29.17	29.17	RFLP
A109_2	C2	114.77	114.77	RFLP
A109_3	C2	68.87	68.87	RFLP
A109_4	I	40.09	40.09	RFLP
A109_5	D1a	54.79	54.79	RFLP
A109_6	I	40.43	40.43	RFLP
A109_7	C2	47.31	47.31	RFLP
A109_8	D1a	52.91	52.91	RFLP
A109_9	J	46.66	46.66	RFLP
A110_1	A2	38.41	38.41	RFLP
A110_2	A1	34.23	34.23	RFLP
A111_1	A2	67.33	67.33	RFLP
A111_2	E	62.84	62.84	RFLP
A112_1	G	35.5	35.5	RFLP
A117_1	A2	104.3	104.3	RFLP
A118_1	B1	58.91	58.91	RFLP
A121_1	C2	0	0	RFLP
A121_2	G	78.05	78.05	RFLP
A122_1	C2	17.1	17.1	RFLP
A124_1	D2	22.45	22.45	RFLP
A129_1	B1	38.63	38.63	RFLP
A130_1	H	56.18	56.18	RFLP
A131_1	M	47.11	47.11	RFLP
A131_2	H	62.36	62.36	RFLP
A132_1	H	19.83	19.83	RFLP
A132_2	L	73.41	73.41	RFLP
A132_3	J	87.09	87.09	RFLP
A132_6	C2	89.69	89.69	RFLP
A135_1	B2	13.59	13.59	RFLP
A135_2	D1b	132.44	132.44	RFLP
A135_3	E	0.06	0.06	RFLP
A136_1	A2	71.37	71.37	RFLP
A136_2	E	63.91	63.91	RFLP
A141_1	D2	117.11	117.11	RFLP
A141_2	H	5.3	5.3	RFLP
A144_1	I	32.41	32.41	RFLP
A148_1	G	54.43	54.43	RFLP
A148_2	B2	73	73	RFLP
A162_1	H	115.33	115.33	RFLP
A169_1	L	3.64	3.64	RFLP
A170_1	A1	92.55	92.55	RFLP
A170_2	A2	10.75	10.75	RFLP
A183_1	B2	110.8	110.8	RFLP
A186_1	F	64.84	64.84	RFLP
A199_1	K	67.73	67.73	RFLP
A199_2	J	91.16	91.16	RFLP
A203_1	E	34.61	34.61	RFLP
A204_1	J	18.48	18.48	RFLP
A204_2	L	33.36	33.36	RFLP
A226_1	M	71.08	71.08	RFLP
A226_2	E	54.85	54.85	RFLP
A230_1	B2	116.32	116.32	RFLP
A233_1	J	83.15	83.15	RFLP
A234_1	B2	102.37	102.37	RFLP
A235_1	G	97.23	97.23	RFLP
A235_2	D1a	55.45	55.45	RFLP
A242_1	B2	33.13	33.13	RFLP
A242_2	E	11.02	11.02	RFLP
A245_1	F	80.79	80.79	RFLP
A245_2	G	89.97	89.97	RFLP
A256_1	A2	15.05	15.05	RFLP
A256_2	A1	80.54	80.54	RFLP
A257_1	D2	10.35	10.35	RFLP
