gene	young_leaf	flower	one_cm_pod	pod_shell_10DAF	pod_shell_14DAF	seed_10DAF	seed_14DAF	seed_21DAF	seed_25DAF	seed_28DAF	seed_35DAF	seed_42DAF	root	nodule
Glyma0021s00400	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Glyma0021s00410	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0021s00420	1	3	2	4	3	1	3	0	1	0	0	0	3	3
Glyma0021s00430	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0021s00460	2	2	2	2	1	2	1	1	1	0	0	0	2	1
Glyma0021s00660	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0022s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0022s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0022s00220	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Glyma0022s00420	10	13	10	11	7	3	4	7	9	4	8	5	17	12
Glyma0022s00430	3	2	4	5	2	2	4	5	6	4	10	4	8	4
Glyma0022s00440	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0022s00450	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0022s00460	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0022s00470	24	35	14	11	3	6	2	5	4	4	6	4	5	3
Glyma0022s00480	2	19	5	3	0	0	0	0	0	0	0	0	5	0
Glyma0022s00490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0022s00500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0022s00510	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0023s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0023s00400	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Glyma0023s00410	1	1	1	0	1	0	0	0	0	0	0	0	19	2
Glyma0023s00610	1	2	1	2	1	1	1	0	3	2	2	1	11	9
Glyma0023s00620	8	4	11	6	5	2	3	7	4	3	5	3	13	18
Glyma0023s00820	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0023s00830	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0024s00200	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Glyma0024s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0024s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Glyma0024s00230	10	5	9	12	7	2	6	11	7	4	7	4	7	105
Glyma0024s00240	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Glyma0024s00260	13	7	11	13	11	6	8	10	6	3	5	3	7	3
Glyma0024s00270	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0024s00280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0024s00480	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Glyma0024s00490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0024s00500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0024s00510	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0024s00520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0024s00720	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0024s00730	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0025s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0025s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0028s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0028s00210	10	11	7	7	4	2	3	6	3	2	3	2	18	5
Glyma0028s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0041s00200	8	5	4	2	0	2	3	3	1	0	0	0	1	1
Glyma0041s00210	12	20	12	19	10	7	7	8	7	2	7	5	23	12
Glyma0041s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
