Glyma2.0	root	stem	flower	root_hairs	leaves	nodules	pod	seed	shoot_apical_meristem
Glyma.01g000100	0.42	1.84	1.93	2.1	2.59	2.66	2.87	3.69	4.85
Glyma.01g000200	0.1	0.62	1.26	0.94	1.45	1.58	1.33	1.06	2.25
Glyma.01g000300	0.08	0.21	0.78	0.45	0.49	0.26	0.25	0.93	1.05
Glyma.01g000400	3.94	6.78	3.28	5.47	4.18	5.75	6.68	6.33	6.14
Glyma.01g000500	0	0	0	0	0.38	0.09	0.1	0.16	0.18
Glyma.01g000600	3.29	5.23	6.08	4.2	5.8	4.49	5.62	5.63	4.68
Glyma.01g000700	8.27	7.32	8.45	9.82	9.17	7.44	9.26	8.21	8.16
Glyma.01g000800	0	0	0	0.03	0	0	0.1	0	0
Glyma.01g000900	10.64	8.41	8.22	10.17	10.46	8.73	9.09	8.68	9.69
Glyma.01g001000	29.49	14.09	11.7	18.81	13.73	19.96	16.67	13.56	11.1
Glyma.01g001100	3.48	3.4	3.96	3.31	8.96	2.6	4.72	4	5.05
Glyma.01g001200	1.75	1.39	0.68	2.87	0.85	3.56	1.96	4.37	5.06
Glyma.01g001300	22.58	35.14	18.57	30.2	29.84	20.48	45.04	36.41	25.48
Glyma.01g001400	0	0	0	0	0	0	0	0	0
Glyma.01g001500	0.44	0	0	0.54	0	3.1	0	0.02	0.01
Glyma.01g001600	2.07	2.35	2.38	4.19	5.25	2.78	1.97	2.19	2.91
Glyma.01g001700	3.75	4.54	4.55	3.14	10.2	3.52	4.69	4.25	6.41
Glyma.01g001800	0	0.08	0.23	0.1	0.08	0.1	0.19	0.94	0.1
Glyma.01g001900	0.5	0.08	32.43	0.05	0	0.15	0.01	0	0
Glyma.01g002000	0.16	2.04	9.12	0.42	53.36	0.59	4.8	0.23	7.07
Glyma.01g002100	3.64	7.36	3.38	6.55	6.15	3.16	10.13	4.48	3.28
Glyma.01g002200	4.4	7.74	6.95	5.4	5.13	5.14	9.38	5.06	6.16
Glyma.01g002300	2.57	0.36	0.27	0.26	0	0.45	0.04	0.01	0
Glyma.01g002400	16.38	24.85	11.7	26.93	3.44	33.73	13.04	17.05	9.43
Glyma.01g002500	0	0	0	0	0.07	0.06	0	0	0
Glyma.01g002600	9.1	18.29	4.97	15.75	25.41	15.34	22.1	16.4	13.04
Glyma.01g002700	12.75	17.1	12.63	9.99	18.8	9.61	11.97	7.97	16.52
Glyma.01g002800	0	0	0.07	0.09	0	0.05	0	0	0.21
