Line	D_20	GL_20	G_20	MD_20	MGL_20	AD_20	AGL_20	MG_20	TIF_20	Protein_20	Oil_20	Total-Isoflavone_20	Ds_20	Gs_20	GLs_20	D_21	GL_21	G_21	MD_21	MGL_21	AD_21	AGL_21	MG_21	TIF_21	Protein_21	Oil_21	Total-Isoflavone_21	Ds_21	Gs_21	GLs_21
JY001	66.34985326	19.10056026	157.7510319	396.6690158	221.5764692	43.49411353	12.15424113	947.4529277	1864.548213	44.755	17.238	1864.548213	506.5129826	1105.20396	252.8312706	139.9154	50.2176	249.9229667	913.2679	220.6905667	138.3727	63.56346667	986.6156333	2762.566233	44.81133333	18.11266667	2900.235667	1191.556	1236.5386	334.4716333
JY002	379.7456217	108.596017	391.3571983	1661.804868	474.2174113	107.6318398	4.80404321	1820.013674	4948.170673	44.856	16.24366667	4948.170673	2149.182329	2211.370872	587.6174715	191.0286333	89.0767	394.6758333	976.7897333	270.2346	176.4882333	66.9613	1311.949233	3477.204267	47.12733333	15.822	3582.7168	1344.3066	1706.625067	426.2726
JY003	191.381721	74.13648974	235.8692295	898.1630219	350.5953076	61.30464448	27.36658109	1105.333477	2944.150473	52.24666667	12.11966667	2944.150473	1150.849387	1341.202707	452.0983784	208.7327333	101.1215333	419.7064333	1094.374633	352.2378333	179.5260667	65.8008	1545.936333	3967.436367	49.73066667	13.888	3785.7591	1482.633433	1965.642767	519.1601667
JY004	208.2085776	50.15021259	284.2475649	1035.956275	375.2664208	79.93241443	11.55399834	1432.722315	3478.037779	49.86833333	12.656	3478.037779	1324.097267	1716.96988	436.9706318	73.19166667	89.6457	299.0049667	764.3352667	332.2097667	131.4595	60.96513333	1030.696433	2781.508433	49.85233333	13.349	2634.963867	968.9864333	1329.7014	482.8206
JY005	143.7829867	49.21059293	182.4487288	673.8059765	336.2498567	46.07365122	0	942.9599797	2374.531773	49.47533333	14.39533333	2374.531773	863.6626145	1125.408708	385.4604496	255.0722333	63.40996667	245.0516333	1255.161233	328.7413	104.9703	54.20566667	857.2608333	3163.873167	51.15433333	13.44933333	2853.249	1615.203767	1102.312467	446.3569333
JY006	57.29267909	56.11102247	53.68181677	296.0927293	286.9566852	5.89565372	12.11370242	285.3128087	1053.457098	47.30433333	15.63433333	1053.457098	359.2810621	338.9946255	355.1814101	230.2853667	65.44646667	268.1726333	1205.711833	266.0397333	111.052	64.4574	1411.482533	3622.647967	47.747	16.17366667	3572.002933	1547.0492	1679.655167	395.9436
JY007	413.9111071	84.55713537	548.0418822	1387.419453	385.0650959	103.7559769	51.47505578	1785.4482	4759.673906	42.868	17.65	4759.673906	1905.086537	2333.490082	521.0972871	220.7325333	117.7432333	478.8521	951.0671667	361.6400333	190.1550667	68.1235	1620.7282	4009.041833	46.214	16.14233333	4208.017233	1361.954767	2099.5803	547.5067667
JY008	322.9909981	108.7100021	227.6979279	1263.392188	549.5917435	58.16620246	13.04568805	995.9926855	3539.587435	42.56733333	17.59366667	3539.587435	1644.549388	1223.690613	671.3474336	271.7320333	64.00463333	315.8984333	1326.7211	266.3062333	140.5210333	53.06056667	1200.6564	3638.900433	46.92133333	17.05833333	3355.615567	1738.974167	1516.554833	383.3714333
JY009	136.5379502	36.99557985	242.4183622	759.9523293	286.9267681	77.43141357	32.00307985	1402.803145	2975.068628	49.22233333	13.97666667	2975.068628	973.921693	1645.221507	355.9254278	251.1096	79.9641	403.4634667	1472.636333	202.8687	176.813	66.95553333	1693.268733	4347.079467	46.63866667	15.61833333	4517.013967	1900.558933	2096.7322	349.7883333
JY010	108.5460675	49.01065026	174.7694239	580.0250231	256.0638674	42.96382085	21.48419864	957.736783	2190.599835	48.323	13.8	2190.599835	731.5349115	1132.506207	326.5587163	147.4739667	121.5121333	478.6944333	909.3374333	428.3632333	175.7330667	83.8417	1740.1564	4085.112367	51.35533333	12.737	4169.8952	1232.544467	2218.850833	633.7170667
JY011	204.4722352	85.55877416	248.8609733	931.7067252	415.8638249	73.00954764	21.98392504	1309.697731	3291.153736	45.24633333	17.4	3291.153736	1209.188508	1558.558704	523.4065241	304.4102	107.6138667	407.8685	1385.921533	356.5114667	159.6947	67.7628	1782.8758	4572.658867	47.124	17.935	4784.8991	1850.026433	2190.7443	531.8881333
JY012	506.6891956	116.3394811	548.708889	1980.748264	606.853194	148.6917739	0	2433.965699	6341.996496	38.22533333	20.52366667	6341.996496	2636.129233	2982.674588	723.1926751	237.6129	110.2977	447.2958333	1263.132233	424.3275667	168.3842333	67.90906667	2031.8916	4750.851133	44.77533333	18.66966667	4925.781567	1669.129367	2479.187433	602.5343333
JY013	253.2891083	60.05526786	436.9590772	1282.609147	395.9235422	141.6647649	52.47316401	2456.797735	5079.771807	42.977	17.509	5079.771807	1677.563021	2893.756813	508.4519741	238.9828333	120.3394	462.4460333	1248.977	366.3529333	166.5447333	59.46553333	1703.078467	4366.186933	44.69366667	18.165	4660.280933	1654.504567	2165.5245	546.1578667
JY014	39.97282916	44.86827805	130.3049489	280.6323191	232.0034133	39.76757277	21.01933527	802.1414542	1590.710151	45.875	16.416	1590.710151	360.372721	932.4464031	297.8910266	7.8494	51.59596667	81.20013333	511.5792667	250.0427	51.97796667	50.42583333	378.7469667	1383.418233	48.29166667	15.20266667	1256.278467	571.4066333	459.9471	352.0645
JY015	217.7727137	101.7718467	320.6391164	949.2242613	415.5120231	78.29303232	38.55937095	1383.292498	3505.064863	47.08266667	15.24466667	3505.064863	1245.290007	1703.931615	555.8432407	16.67406667	84.08836667	261.4129667	240.6303333	220.5579667	120.8947	65.07333333	685.9264333	1695.258167	51.231	14.14766667	1764.6873	378.1991	947.3394	369.7196667
JY016	68.70609236	38.12106464	103.0110088	399.9652517	226.2060344	29.70456487	19.41774089	614.7223672	1499.854125	46.67933333	17.405	1499.854125	498.3759089	717.733376	283.7448399	237.3763	92.2897	450.6508	906.7691667	500.9812333	163.0604333	81.73583333	1712.752433	4145.6159	48.71766667	16.91633333	4435.662733	1307.2059	2163.403233	675.0067667
JY017	89.06123495	25.21125492	144.2713903	511.1516726	214.266189	42.66350674	29.68048161	851.6284356	1907.934166	41.414	19.06433333	1907.934166	642.8764143	995.8998259	269.1579255	107.3742667	65.57636667	187.0464333	838.4198333	295.3148	92.455	53.77513333	772.0308333	2411.992667	47.595	16.11466667	2490.3942	1038.2491	959.0772667	414.6663
JY018	75.48021497	45.62553997	222.6455526	470.7760834	238.4915241	68.01830202	40.91470532	1329.394688	2491.346611	45.09733333	15.79733333	2491.346611	614.2746003	1552.040241	325.0317694	155.8926333	101.6669	419.8136333	956.9565333	337.0042333	163.0726333	57.84493333	1579.635167	3771.886667	47.10966667	15.36733333	3590.415033	1275.9218	1999.4488	496.5160667
JY019	181.6652136	35.95180291	293.2249739	895.7858487	302.1178506	79.16067421	36.1527711	1503.688936	3327.748072	48.70966667	13.34933333	3327.748072	1156.611737	1796.91391	374.2224246	265.3985333	105.9873333	419.1138667	1441.0668	331.5278333	172.8795333	56.02786667	1545.482833	4337.4846	49.01566667	13.37766667	4538.867833	1879.344867	1964.5967	493.5430333
JY020	130.4109652	59.57789242	317.4472626	770.2205377	311.205041	97.14869209	38.55598075	1720.542531	3445.108903	51.647	12.49066667	3445.108903	997.780195	2037.989794	409.3389142	325.0491	108.9041333	498.7876333	1541.095933	368.4128333	181.5198333	62.78113333	2020.959167	5107.509767	48.66	13.79233333	5161.288433	2047.664867	2519.7468	540.0981
JY021	137.3764939	64.24462013	366.127592	700.0034426	322.0254183	97.14792787	33.22738922	1744.025881	3464.178765	50.19966667	13.339	3464.178765	934.5278644	2110.153473	419.4974276	94.4889	83.10526667	262.7339667	902.0941667	238.7918667	124.2461667	43.66053333	1045.3942	2794.515067	50.18333333	14.50633333	2237.442067	1120.829233	1308.128167	365.5576667
JY022	532.4350951	85.16663449	693.0869877	2059.467229	441.2808918	158.6322257	66.24993519	2637.037617	6673.356616	46.54233333	15.57933333	6673.356616	2750.53455	3330.124605	592.6974615	286.2215	112.8856667	465.5219333	1396.394033	351.8550667	179.2575	65.20536667	1941.2858	4798.626867	47.05333333	15.60633333	4845.710933	1861.873033	2406.807733	529.9461
JY023	51.05247468	40.03955566	140.9867529	336.8103299	307.1951277	11.84744773	22.04744355	825.6277979	1735.60693	54.53233333	12.09633333	1735.60693	399.7102523	966.6145508	369.2821269	111.8546333	78.45263333	237.2067	884.5673	390.2257333	102.9539667	43.47816667	845.1565333	2693.895667	56.88033333	11.17066667	2460.227867	1099.3759	1082.363233	512.1565333
JY024	388.0221065	51.42341522	381.73621	1750.074097	337.340587	0	34.66228765	1796.119441	4739.378145	43.033	16.82733333	4739.378145	2138.096204	2177.855651	423.4262898	337.8311667	108.3527667	536.4323333	1763.389267	296.0549	218.297	68.1467	2101.977367	5430.4815	42.454	17.362	5195.329767	2319.517433	2638.4097	472.5543667
JY025	146.6989736	50.5214889	218.2580575	754.4623972	266.7052833	1.700257333	16.05970123	1180.812697	2635.218856	51.70133333	11.57366667	2635.218856	902.8616281	1399.070755	333.2864734	241.3390333	100.0495	466.4592	1400.961267	275.4287667	196.1655667	63.98686667	1735.569033	4479.959233	42.139	18.03666667	4232.915367	1838.465867	2202.028233	439.4651333
JY026	429.5728644	123.8297129	508.1571866	1505.75351	486.3456069	17.88800409	53.27886549	2001.962526	5126.788276	47.75733333	14.551	5126.788276	1953.214378	2510.119713	663.4541853	88.40146667	64.91016667	225.0427667	738.3963667	266.5942	110.6976333	55.02326667	864.6560333	2413.7219	51.21333333	13.786	2472.493167	937.4954667	1089.6988	386.5276333
JY027	306.1004181	72.61887957	313.7290961	1378.858009	398.9203722	8.360670558	46.11230047	1558.569275	4083.269021	45.45266667	16.28666667	4083.269021	1693.319098	1872.298371	517.6515523	167.3097667	105.7504333	397.3192	986.6308667	331.5819333	177.284	65.0207	1345.6955	3576.5924	45.12766667	16.422	3438.203467	1331.224633	1743.0147	502.3530667
JY028	5.658781824	23.09227264	14.32061828	95.85123743	167.9388355	0	0	123.8496564	430.7114021	49.85733333	11.227	430.7114021	101.5100193	138.1702747	191.0311082	140.5937	84.8641	251.6789667	1006.526433	299.1336667	113.7455667	50.3517	1058.1664	3005.060533	47.64033333	15.205	2752.890633	1260.8657	1309.845367	434.3494667
JY029	91.15536051	40.44538479	120.842678	541.9925245	322.2931741	12.58314549	16.96559288	638.2450438	1784.522904	46.92233333	13.464	1784.522904	645.7310305	759.0877218	379.7041518	78.24313333	80.23553333	225.9727667	879.5510333	209.5859	147.5785667	43.88703333	753.3306333	2418.3846	49.30033333	13.541	1954.222833	1105.372733	979.3034	333.7084667
JY030	208.4002564	53.27233722	423.2464166	965.6959282	358.7234663	124.7604437	37.86160228	2004.026917	4175.987368	49.46766667	15.27166667	4175.987368	1298.856628	2427.273334	449.8574058	121.6279333	83.79026667	312.9473333	831.7044333	257.3087	138.7592333	65.73476667	1245.219367	3057.092033	49.108	16.963	3182.520833	1092.0916	1558.1667	406.8337333
JY031	219.6094093	79.43373171	399.1763594	1088.155905	402.0446839	138.6958516	39.82746268	2089.052741	4455.996144	45.72266667	16.60066667	4455.996144	1446.461166	2488.2291	521.3058783	239.4979	118.9696	513.3853333	1213.8331	415.3504	187.1770333	82.7986	1822.896333	4593.9083	43.51733333	18.196	4905.317367	1640.508033	2336.281667	617.1186
