"Glyma2.0" "Glyma1.1" "chromosome_number" "start_mb" "stop_mb" "Protein_Length_.AA." "Top_Uniref100_BLASTP_Hit_.2."
"1" "Glyma.01g009500" "Glyma01g01291" 1 934715 936944 232 "UniRef100_K7K156_Uncharacterized_protein_n=1_Tax=Glycine_max_RepID=K7K156_SOYBN"
"2" "Glyma.01g101300" "Glyma01g24750" 1 33700224 33701269 189 "UniRef100_K7K2Z4_Uncharacterized_protein_(Fragment)_n=1_Tax=Glycine_max_RepID=K7K2Z4_SOYBN"
"3" "Glyma.01g172600" "Glyma01g37810" 1 50980073 50982344 319 "UniRef100_I1J8T0_Uncharacterized_protein_n=1_Tax=Glycine_max_RepID=I1J8T0_SOYBN"
"4" "Glyma.01g172700" "Glyma01g37820" 1 51006487 51012441 308 "UniRef100_I1J8T1_Uncharacterized_protein_n=1_Tax=Glycine_max_RepID=I1J8T1_SOYBN"
"5" "Glyma.01g172800" "Glyma01g37840" 1 51015925 51018163 308 "UniRef100_I1J8T2_Uncharacterized_protein_n=1_Tax=Glycine_max_RepID=I1J8T2_SOYBN"
"6" "Glyma.01g172900" "Glyma01g37850" 1 51020047 51025420 385 "UniRef100_UPI0003DEBFEE_PREDICTED:_isoflavone_reductase-like_protein-like_n=1_Tax=Glycine_max_RepID=UPI0003DEBFEE"
"7" "Glyma.01g211800" "Glyma1454s00200" 1 54334732 54336870 319 "UniRef100_I1M622_Uncharacterized_protein_n=1_Tax=Glycine_max_RepID=I1M622_SOYBN"
"8" "Glyma.02g067900" NA 2 5986285 5987684 231 "UniRef100_K7K6U2_Uncharacterized_protein_n=1_Tax=Glycine_max_RepID=K7K6U2_SOYBN"
"9" "Glyma.03g259500" "Glyma03g42060" 3 45369579 45371176 296 "UniRef100_K7KH46_Uncharacterized_protein_n=2_Tax=Glycine_max_RepID=K7KH46_SOYBN"
"10" "Glyma.04g012300" "Glyma04g01380" 4 910831 913254 311 "UniRef100_Q9SDZ0_Isoflavone_reductase_homolog_2_n=1_Tax=Glycine_max_RepID=Q9SDZ0_SOYBN"
"11" "Glyma.04g031100" "Glyma04g03340" 4 2508599 2510095 347 "UniRef100_I1JTA1_Uncharacterized_protein_n=2_Tax=Glycine_max_RepID=I1JTA1_SOYBN"
"12" "Glyma.07g202300" "Glyma07g32330" 7 37166217 37168584 522 "UniRef100_Q9M6D6_Isoflavone_synthase_n=3_Tax=Glycine_RepID=Q9M6D6_SOYBN"
