num	chr	marker	cm	bp	group	h	K
1	Chr01	01_683307	0	683307	1	h00068	0.125497044
2	Chr01	01_386130	1.184	386130	1	h00044	0.250677216
3	Chr01	01_123502	2.233	123502	1	h00043	0.276722607
4	Chr01	01_369910	3.046	369910	1	h00044	0.225521725
5	Chr01	01_469930	3.722	469930	1	h00068	0.166260736
6	Chr01	01_528621	4.04	528621	1	h00068	0.185188108
7	Chr01	01_768506	5.331	768506	1	h00068	0.10207095
8	Chr01	01_810900	7.644	810900	1	h00110	0.038366374
9	Chr01	01_869713	8.651	869713	1	h00110	0.034097529
10	Chr01	01_890127	10.736	890127	1	h00110	0.086206832
11	Chr01	01_935824	11.017	935824	1	h00110	0.099000148
12	Chr01	01_1039374	13.944	1039374	1	h00110	0.017703754
13	Chr01	01_1039348	14.811	1039348	1	h00110	0.020641872
14	Chr01	01_1064059	15.41	1064059	1	h00110	0.064180705
15	Chr01	01_1338361	18.559	1338361	1	h00153	0.091684421
16	Chr01	01_1482464	20.056	1482464	1	h00158	0.048382953
17	Chr01	01_1482036	20.904	1482036	1	h00158	0.012763553
18	Chr01	01_1528978	22.78	1528978	1	h00165	0.038505188
19	Chr01	01_1818967	28.358	1818967	1	h00192	0.040319723
20	Chr01	01_2001706	34.736	2001706	1	h00232	0.033397901
21	Chr01	01_2122738	37.909	2122738	1	h00232	0.054487771
22	Chr01	01_2211277	39.159	2211277	1	h00232	0.047216989
23	Chr01	01_2236768	40.239	2236768	1	h00234	0.049618366
24	Chr01	01_2602080	45.069	2602080	1	h00274	0.037833282
25	Chr01	01_2602071	45.345	2602071	1	h00274	0.042892951
26	Chr01	01_2771348	47.319	2771348	1	h00297	0.046847411
27	Chr01	01_2766051	47.986	2766051	1	h00297	0.004209672
28	Chr01	01_2766191	48.279	2766191	1	h00297	0.039954005
29	Chr01	01_2885098	49.776	2885098	1	h00297	0.067496295
30	Chr01	01_2986166	51.595	2986166	1	h00297	0.068360061
31	Chr01	01_3137444	53.459	3137444	1	h00386	0.04962457
32	Chr01	01_3160203	54.717	3160203	1	h00386	0.009371131
33	Chr01	01_3160395	55.012	3160395	1	h00386	0.019055862
34	Chr01	01_3203962	56.175	3203962	1	h00386	0.03309755
35	Chr01	01_3259965	58.124	3259965	1	h00386	0.031015317
36	Chr01	01_3281308	58.765	3281308	1	h00386	0.016649481
37	Chr01	01_3281305	59.941	3281305	1	h00386	0.087714113
38	Chr01	01_3385157	60.533	3385157	1	h00386	0.267418821
