num	chr	marker	cm	bp	group	h	K
1	Chr01	01_823278	0	823278	1	H	0.001
2	Chr01	01_979924	1.213	979924	1	H	0.001
3	Chr01	01_1107228	1.509	1107228	1	H	0.001
4	Chr01	01_1237296	1.803	1237296	1	H	0.001
5	Chr01	01_1270186	2.097	1270186	1	H	0.001
6	Chr01	01_1301020	2.389	1301020	1	H	0.001
7	Chr01	01_1423756	3.267	1423756	1	H	0.001
8	Chr01	01_1521991	4.443	1521991	1	H	0.001
9	Chr01	01_1796956	5.932	1796956	1	H	0.001
10	Chr01	01_1889374	6.513	1889374	1	H	0.001
11	Chr01	01_2274638	7.396	2274638	1	H	0.001
12	Chr01	01_2944680	15.982	2944680	1	H	0.001
13	Chr01	01_3160446	17.166	3160446	1	H	0.001
14	Chr01	01_3342559	17.454	3342559	1	H	0.001
15	Chr01	01_3378315	17.741	3378315	1	H	0.001
16	Chr01	01_3524524	18.618	3524524	1	H	0.001
17	Chr01	01_3579099	18.907	3579099	1	H	0.001
18	Chr01	01_3585591	19.489	3585591	1	H	0.001
19	Chr01	01_3685509	19.778	3685509	1	H	0.001
20	Chr01	01_5313416	31.879	5313416	1	H	0.001
21	Chr01	01_5466375	32.467	5466375	1	H	0.001
22	Chr01	01_5949964	34.603	5949964	1	H	0.001
23	Chr01	01_6917089	36.109	6917089	1	H	0.001
24	Chr01	01_25928596	42.019	25928596	1	H	0.001
25	Chr01	01_35249061	47.233	35249061	1	H	0.001
26	Chr01	01_35932877	48.438	35932877	1	H	0.001
27	Chr01	01_36992932	49.033	36992932	1	H	0.001
28	Chr01	01_37596589	49.324	37596589	1	H	0.001
29	Chr01	01_40014278	49.619	40014278	1	H	0.001
30	Chr01	01_42965909	50.215	42965909	1	H	0.001
31	Chr01	01_41434481	50.507	41434481	1	H	0.001
32	Chr01	01_41141330	52.978	41141330	1	H	0.001
33	Chr01	01_43694104	55.465	43694104	1	H	0.001
34	Chr01	01_43851078	55.755	43851078	1	H	0.001
35	Chr01	01_43903960	56.046	43903960	1	H	0.001
36	Chr01	01_44086839	56.934	44086839	1	H	0.001
37	Chr01	01_44276483	57.23	44276483	1	H	0.001
38	Chr01	01_44896742	57.524	44896742	1	H	0.001
39	Chr01	01_45269288	57.818	45269288	1	H	0.001
40	Chr01	01_45535684	58.711	45535684	1	H	0.001
41	Chr01	01_45661398	59.303	45661398	1	H	0.001
42	Chr01	01_45728502	59.597	45728502	1	H	0.001
43	Chr01	01_45893563	59.889	45893563	1	H	0.001
44	Chr01	01_45935654	60.185	45935654	1	H	0.001
45	Chr01	01_46103306	60.78	46103306	1	H	0.001
46	Chr01	01_46542618	61.673	46542618	1	H	0.001
47	Chr01	01_47343692	61.966	47343692	1	H	0.001
48	Chr01	01_47574690	62.255	47574690	1	H	0.001
49	Chr01	01_47942128	63.734	47942128	1	H	0.001
50	Chr01	01_48817017	68.093	48817017	1	H	0.001
51	Chr01	01_48945063	68.377	48945063	1	H	0.001
52	Chr01	01_49046949	68.661	49046949	1	H	0.001
53	Chr01	01_49095861	69.524	49095861	1	H	0.001
54	Chr01	01_49100734	70.095	49100734	1	H	0.001
55	Chr01	01_49176585	70.381	49176585	1	H	0.001
56	Chr01	01_49299765	70.955	49299765	1	H	0.001
57	Chr01	01_49349101	71.241	49349101	1	H	0.001
58	Chr01	01_49371559	71.816	49371559	1	H	0.001
59	Chr01	01_49394831	72.102	49394831	1	H	0.001
60	Chr01	01_49405022	72.387	49405022	1	H	0.001
61	Chr01	01_49564591	73.564	49564591	1	H	0.001
62	Chr01	01_49741168	73.855	49741168	1	H	0.001
63	Chr01	01_49910518	75.343	49910518	1	H	0.001
64	Chr01	01_50078206	77.492	50078206	1	H	0.001
65	Chr01	01_50164447	77.786	50164447	1	H	0.001
66	Chr01	01_50199056	78.077	50199056	1	H	0.001
67	Chr01	01_50250951	78.367	50250951	1	H	0.001
68	Chr01	01_50268147	78.658	50268147	1	H	0.001
69	Chr01	01_50299407	78.95	50299407	1	H	0.001
70	Chr01	01_50487009	79.243	50487009	1	H	0.001
71	Chr01	01_50545995	79.831	50545995	1	H	0.001
72	Chr01	01_50879752	80.127	50879752	1	H	0.001
73	Chr01	01_51101816	81.968	51101816	1	H	0.001
74	Chr01	01_51224777	82.564	51224777	1	H	0.001
75	Chr01	01_52952824	93.23	52952824	1	H	0.001
76	Chr01	01_52715912	93.832	52715912	1	H	0.001
77	Chr01	01_53124211	96.007	53124211	1	H	0.001
78	Chr01	01_53527381	98.823	53527381	1	H	0.001
79	Chr01	01_53584068	99.112	53584068	1	H	0.001
80	Chr01	01_54479210	103.554	54479210	1	H	0.001
81	Chr01	01_54999659	107.433	54999659	1	H	0.001
82	Chr01	01_55326756	108.342	55326756	1	H	0.001
83	Chr01	01_55722214	113.393	55722214	1	H	0.001
84	Chr01	01_55810440	113.69	55810440	1	H	0.001
85	Chr01	01_56059820	115.215	56059820	1	H	0.001
86	Chr01	01_56296878	115.509	56296878	1	H	0.001
87	Chr01	01_56582329	115.803	56582329	1	H	0.001
88	Chr01	01_56705229	116.395	56705229	1	H	0.001
89	Chr02	02_305890	0	305890	2	H	0.001
90	Chr02	02_651315	0.904	651315	2	H	0.001
91	Chr02	02_693738	1.198	693738	2	H	0.001
92	Chr02	02_2175799	6.704	2175799	2	H	0.001
93	Chr02	02_2350780	6.993	2350780	2	H	0.001
94	Chr02	02_2488357	7.574	2488357	2	H	0.001
95	Chr02	02_2381863	7.862	2381863	2	H	0.001
96	Chr02	02_2446204	8.44	2446204	2	H	0.001
97	Chr02	02_2767559	10.537	2767559	2	H	0.001
98	Chr02	02_2956213	10.826	2956213	2	H	0.001
99	Chr02	02_3784156	14.335	3784156	2	H	0.001
100	Chr02	02_4006063	14.937	4006063	2	H	0.001
101	Chr02	02_4188852	15.852	4188852	2	H	0.001
102	Chr02	02_4540438	17.079	4540438	2	H	0.001
103	Chr02	02_4601159	17.671	4601159	2	H	0.001
104	Chr02	02_4714046	19.196	4714046	2	H	0.001
105	Chr02	02_4864776	19.493	4864776	2	H	0.001
106	Chr02	02_4917674	19.789	4917674	2	H	0.001
107	Chr02	02_4956221	20.082	4956221	2	H	0.001
108	Chr02	02_5017274	20.374	5017274	2	H	0.001
109	Chr02	02_5164814	21.262	5164814	2	H	0.001
110	Chr02	02_5200616	21.554	5200616	2	H	0.001
111	Chr02	02_5297327	21.846	5297327	2	H	0.001
112	Chr02	02_6257116	26.638	6257116	2	H	0.001
113	Chr02	02_6198717	28.145	6198717	2	H	0.001
114	Chr02	02_6456965	28.439	6456965	2	H	0.001
115	Chr02	02_7090012	32.909	7090012	2	H	0.001
116	Chr02	02_7118150	33.2	7118150	2	H	0.001
117	Chr02	02_7196346	33.491	7196346	2	H	0.001
118	Chr02	02_7213937	33.78	7213937	2	H	0.001
119	Chr02	02_7560523	34.361	7560523	2	H	0.001
120	Chr02	02_7598742	34.65	7598742	2	H	0.001
121	Chr02	02_8118794	35.253	8118794	2	H	0.001
122	Chr02	02_8457165	37.441	8457165	2	H	0.001
123	Chr02	02_8604219	38.051	8604219	2	H	0.001
124	Chr02	02_8966723	39.614	8966723	2	H	0.001
125	Chr02	02_9748971	40.798	9748971	2	H	0.001
