Nr	Group	Position	Locus	LOD	X..Iter.	mu_A	mu_H	mu_B	Variance	X..Expl.	Additive	GIC	traits	number	selected	physical	phy_se
417	2	17.149	02_2149517-	3.12	1	50.1491	47.3346	44.52	89.3534	7.7	2.81455	0.931	Blue_2012	417	TRUE	2.149517	TRUE
494	2	77.387	02_7185126-02_8025039	2.77	1	50.1038	47.3701	44.6365	90.1608	6.8	2.73367	0.898	Blue_2012	494	TRUE	7.185126	TRUE
2557	7	201.73	07_20280812	2.13	1	49.7892	47.4891	45.189	91.6375	5.3	2.30009	1	Blue_2012	2557	TRUE	20.280812	TRUE
2575	7	215.565	07_31490409	2.34	1	49.7071	47.3158	44.9246	91.1625	5.8	2.39126	0.994	Blue_2012	2575	TRUE	31.490409	TRUE
2850	8	95.815	08_9054795	13.54	1	52.2366	46.8426	41.4486	68.4436	29.3	5.39399	1	Blue_2012	2850	TRUE	9.054795	TRUE
3297	9	103.718	09_8314206	2.46	1	49.995	47.5428	45.0906	90.8697	6.1	2.4522	1	Blue_2012	3297	TRUE	8.314206	TRUE
3317	9	115.685	09_13420254-09_15059933	2.35	1	49.9572	47.5425	45.1278	91.1285	5.8	2.41472	0.985	Blue_2012	3317	TRUE	13.420254	TRUE
3368	9	150.312	09_28487973-09_22111648	2.53	1	50.015	47.4969	44.9788	90.7081	6.3	2.51808	0.982	Blue_2012	3368	TRUE	28.487973	TRUE
3421	9	192.551	09_35873104-09_37357930	2.53	1	50.1791	47.5615	44.9439	90.717	6.3	2.6176	0.886	Blue_2012	3421	TRUE	35.873104	TRUE
5291	13	372.588	13_35326694	3.81	1	50.5683	47.5685	44.5688	87.7882	9.3	2.99971	1	Blue_2012	5291	TRUE	35.326694	TRUE
6195	15	281.838	15_48629463	2.43	1	49.7467	47.2304	44.7141	90.9447	6	2.51633	0.986	Blue_2012	6195	TRUE	48.629463	TRUE
7315	18	238.36	18_49928560	2.97	1	50.1629	47.5019	44.8409	89.7002	7.3	2.66098	1	Blue_2012	7315	TRUE	49.92856	TRUE
7703	19	155.757	19_37647577	2.45	1	49.9464	47.4882	45.03	90.9062	6.1	2.45818	1	Blue_2012	7703	TRUE	37.647577	TRUE
494	2	77.387	02_7185126-02_8025039	3.76	1	93.8366	86.0507	78.2647	532.163	9.2	7.78597	0.898	Green_2012	8774	TRUE	7.185126	TRUE
2746	8	16.58	08_1892288	3.21	1	93.0567	86.2364	79.4161	539.644	7.9	6.8203	1	Green_2012	11026	TRUE	1.892288	TRUE
2844	8	91.506	08_8285888-08_8508938	39.87	1	105.048	85.2773	65.5066	211.242	63.9	19.7707	0.984	Green_2012	11124	TRUE	8.285888	TRUE
