"","marker","JY001","JY002","JY003","JY004","JY005","JY006","JY007","JY008","JY009","JY010","JY011","JY012","JY013","JY014","JY015","JY016","JY017","JY018","JY019","JY020","JY021","JY022","JY023","JY024","JY025","JY026","JY027","JY028","JY029","JY030","JY031","JY032","JY033","JY034","JY035","JY036","JY037","JY038","JY039","JY040","JY041","JY042","JY043","JY044","JY045","JY046","JY047","JY048","JY049","JY050","JY051","JY052","JY053","JY054","JY055","JY056","JY057","JY058","JY059","JY060","JY061","JY062","JY063","JY064","JY065","JY066","JY067","JY068","JY069","JY070","JY071","JY072","JY073","JY074","JY075","JY076","JY077","JY078","JY079","JY080","JY081","JY082","JY083","JY084","JY085","JY086","JY087","JY088","JY089","JY090","JY091","JY092","JY093","JY094","JY095","JY096","JY097","JY098","JY099","JY100","JY101","JY102","JY103","JY104","JY105","JY106","JY107","JY108","JY109","JY110","JY111","JY112","JY113","JY114","JY115","JY116","JY117","JY118","JY119","JY120","JY121","JY122","JY123","JY124","JY125","JY126","JY127","JY128","JY129","JY130","JY131","JY132","JY133","JY134","JY135","JY136","JY137","JY138","JY139","JY140","JY141","JY142","JY143","JY144","JY145","JY146","JY147","JY148","JY149","JY150","JY151","JY152","JY153","JY154","JY155","JY156","JY157","JY158","JY159","JY160","JY161","JY162","JY163","JY164","JY165","JY166","JY167","JY168","JY169","JY170","JY171","JY172","JY173","JY174","JY175","JY176","JY177","JY178","JY179","JY180","JY181","JY182","JY183","JY184","JY185"
"1","01_683307","B","B","B","A","A","A","A","A","B","A","B","A","B","B","B","A","B","A","B","B","B","A","B","A","B","B","B","A","A","H","B","B","B","B","A","B","A","A","A","B","B","B","B","B","B","B","B","A","A","A","A","B","A","A","A","A","A","B","B","A","B","A","A","A","A","A","A","B","A","B","A","B","A","B","B","A","B","B","A","A","B","A","B","B","A","B","A","A","B","A","B","B","B","B","B","B","A","B","B","A","B","A","B","A","B","A","B","A","B","A","A","B","B","B","A","B","B","A","B","B","B","B","A","B","A","B","A","A","B","B","B","A","B","A","A","A","A","A","B","A","A","B","B","B","A","A","A","H","A","A","H","A","A","A","H","A","B","B","A","B","A","A","B","B","A","A","B","-","A","B","B","A","A","B","B","B","B","B","B","B","B","A","B","B","B"
"2","01_386130","B","B","B","A","A","A","A","A","B","B","B","A","B","B","B","A","B","A","B","B","B","A","B","A","B","B","B","A","A","B","B","B","B","B","A","B","A","A","A","B","B","B","B","B","B","B","B","A","A","A","A","B","A","A","A","A","A","B","B","A","B","A","A","A","A","A","A","B","A","B","A","B","A","B","B","A","B","B","A","A","B","A","B","B","A","B","A","A","B","A","B","B","B","B","B","B","A","A","B","A","B","A","B","A","B","A","B","A","B","A","A","B","B","B","A","B","B","A","B","B","B","B","A","B","A","B","A","A","B","B","B","A","B","A","A","A","A","A","B","A","A","B","B","B","A","A","A","B","A","A","B","A","B","A","B","A","B","B","A","B","A","A","B","B","A","-","B","B","A","B","B","A","A","B","B","B","A","B","B","B","B","A","B","-","B"
"3","01_123502","B","B","B","A","A","A","A","A","B","B","B","A","B","B","B","A","B","A","B","B","B","A","B","A","B","B","B","A","A","B","B","B","B","B","A","B","A","A","A","B","B","B","B","B","B","B","B","A","A","B","A","B","A","A","A","A","A","B","B","A","B","A","A","A","A","A","A","B","A","B","A","B","A","B","B","A","B","B","A","A","B","A","B","B","A","B","A","B","B","A","B","B","B","B","H","B","A","B","B","A","B","A","B","A","-","A","B","A","B","A","A","B","B","B","A","-","B","A","B","B","B","-","A","B","A","B","A","A","B","B","B","A","B","A","A","A","A","A","-","A","A","B","B","B","A","A","A","B","A","A","-","A","B","A","B","A","B","B","A","B","A","A","B","B","A","A","B","-","A","B","B","A","A","H","B","B","-","B","B","B","B","A","B","B","-"
"4","01_369910","B","B","B","A","A","A","A","A","B","B","B","A","B","B","B","A","B","A","B","B","B","A","B","A","B","B","B","A","A","B","B","B","B","B","A","-","A","A","A","B","B","B","B","B","B","B","B","A","A","A","A","B","A","A","A","A","A","B","B","A","B","A","A","A","A","A","A","B","A","B","A","B","A","B","B","A","B","B","A","A","B","A","B","B","A","B","A","B","B","A","B","B","B","B","B","B","A","A","B","A","-","A","B","A","B","A","B","A","B","A","A","B","B","B","H","-","B","A","B","B","B","B","A","H","A","B","A","A","B","B","B","A","B","A","A","A","A","A","A","A","A","B","B","B","A","A","A","H","A","A","A","A","B","A","B","A","B","B","A","B","A","A","B","B","A","-","B","B","A","B","B","A","A","B","B","B","B","B","B","B","B","A","B","B","A"
"5","01_469930","B","B","B","A","A","A","A","A","H","B","B","A","B","B","B","A","B","A","B","B","B","A","B","A","B","B","B","A","A","B","B","B","B","B","A","B","A","A","A","B","B","B","B","B","B","B","B","A","A","A","A","H","A","A","A","A","A","B","B","A","B","A","A","A","A","A","A","B","A","B","A","B","A","B","B","A","B","B","A","A","B","A","B","B","A","B","A","A","B","A","B","B","B","B","B","B","A","-","B","A","B","A","B","A","B","A","B","A","B","A","A","B","B","B","A","B","B","A","B","B","B","B","A","B","A","B","A","A","B","B","B","A","B","A","A","A","A","A","A","A","A","B","B","B","A","A","A","B","A","A","A","A","B","A","B","A","B","B","A","B","A","A","B","B","A","B","B","B","A","B","B","A","A","B","B","B","B","B","B","B","B","A","B","A","A"
"6","01_528621","B","B","B","A","A","A","A","A","B","H","B","A","B","B","B","A","B","A","B","B","B","A","B","A","B","B","H","H","A","B","B","B","B","B","A","B","A","A","A","B","B","B","B","B","B","B","B","A","A","A","A","B","A","A","A","A","A","B","B","A","B","A","A","A","A","A","A","B","A","B","A","B","A","B","B","A","B","B","A","A","B","A","B","B","A","B","A","A","B","A","B","B","B","B","B","B","A","H","B","A","-","A","B","A","-","A","B","A","B","-","A","B","B","B","A","-","B","A","B","B","B","B","A","B","A","B","H","A","B","B","B","A","B","A","A","A","A","A","-","A","A","B","B","B","A","A","A","B","A","A","A","H","B","A","B","A","B","B","A","B","A","A","B","B","A","B","B","A","H","B","B","A","A","H","B","B","-","B","B","B","B","A","B","A","A"
"7","01_768506","B","B","B","A","A","A","A","A","B","H","B","A","B","B","B","A","B","A","B","B","B","A","B","A","B","B","B","A","A","B","B","B","B","B","A","B","A","A","A","B","B","B","B","B","B","B","B","A","A","A","A","B","A","B","A","H","A","B","B","A","B","A","A","A","A","A","A","B","A","B","A","B","A","B","B","A","B","B","A","A","B","A","B","B","A","B","A","A","B","A","B","B","B","B","B","B","A","B","B","A","B","A","B","A","B","A","B","A","B","A","A","B","B","B","A","A","B","A","B","B","B","A","A","B","A","B","H","A","B","B","B","A","B","A","A","A","A","A","A","A","A","B","B","B","A","A","A","B","A","A","A","A","A","A","B","A","B","B","A","B","A","A","B","B","A","B","B","B","A","B","B","A","A","B","B","B","B","B","B","B","B","A","B","A","A"
"8","01_810900","A","B","B","A","A","A","A","A","B","A","B","A","B","B","B","A","B","A","B","B","B","A","B","A","B","B","B","A","A","B","B","B","B","B","A","B","A","A","A","B","B","B","B","B","B","B","B","A","A","A","A","B","A","B","A","H","A","B","B","A","B","A","A","A","A","A","A","B","A","B","A","B","A","B","B","A","B","B","A","A","B","A","B","B","A","B","H","A","B","A","B","B","B","B","B","B","A","A","B","A","A","A","B","A","A","A","B","A","B","A","A","B","B","B","A","A","B","A","B","B","B","A","A","B","A","B","A","A","B","B","B","A","B","A","A","A","A","A","B","A","A","B","B","B","A","A","A","B","A","A","B","A","A","A","B","A","B","B","H","B","A","A","B","B","A","B","B","B","A","B","B","A","A","B","B","B","B","B","B","B","B","A","B","B","B"
"9","01_869713","A","B","B","A","A","A","A","A","B","A","B","A","B","B","B","A","B","A","B","B","B","A","B","A","B","B","B","A","A","B","B","B","B","B","A","A","A","A","A","B","B","B","B","B","B","B","B","A","A","A","A","B","A","B","A","A","A","B","B","A","B","A","A","A","A","A","A","B","A","B","A","B","A","B","B","A","B","B","A","A","B","A","B","B","A","B","A","B","B","A","B","B","B","B","B","B","A","A","B","A","-","A","B","A","A","A","B","A","B","A","A","B","B","B","A","A","B","B","B","B","B","A","A","B","A","B","A","A","B","B","B","A","B","A","A","A","A","A","B","A","A","B","B","B","A","A","A","B","A","A","B","A","A","A","-","A","B","B","A","B","A","A","B","B","A","B","B","-","A","B","B","A","A","B","B","B","B","B","B","B","B","A","B","B","-"
"10","01_890127","A","B","B","A","A","A","A","A","B","A","B","A","B","B","B","A","B","A","B","B","B","A","B","A","B","B","B","A","A","B","B","B","B","B","A","A","A","A","A","B","B","B","B","B","B","B","B","A","A","A","A","B","A","B","A","H","B","B","B","A","B","A","A","A","B","A","A","B","A","B","A","B","A","B","B","A","B","B","A","A","B","A","B","B","A","B","A","B","B","A","B","B","B","B","B","B","A","B","B","A","B","A","B","A","A","A","B","A","B","B","A","B","B","B","A","A","B","A","B","B","B","A","A","B","A","B","A","A","B","B","B","A","B","A","A","A","A","A","B","A","A","B","B","B","A","A","A","B","A","A","-","A","A","A","B","A","B","B","A","B","A","A","B","B","B","B","B","B","A","B","B","A","A","B","B","B","B","B","-","B","B","A","B","B","B"
