id	chromosome_number	start_mb	stop_mb
Glyma.01g000100	1	27355	28320
Glyma.01g000200	1	58975	67527
Glyma.01g000300	1	67770	69968
Glyma.01g000400	1	90152	95947
Glyma.01g000500	1	90289	91197
Glyma.01g000600	1	116094	127845
Glyma.01g000700	1	143467	155573
Glyma.01g000800	1	157030	157772
Glyma.01g000900	1	170534	193342
Glyma.01g001000	1	196256	201895
Glyma.01g001100	1	205453	222233
Glyma.01g001200	1	221661	225775
Glyma.01g001300	1	227021	237987
Glyma.01g001400	1	244111	244455
Glyma.01g001500	1	246904	260666
Glyma.01g001600	1	260356	269483
Glyma.01g001700	1	269071	274045
Glyma.01g001800	1	275426	278431
Glyma.01g001900	1	280963	285491
Glyma.01g002000	1	285907	288571
Glyma.01g002100	1	291328	297375
Glyma.01g002200	1	303812	307964
Glyma.01g002300	1	318431	323032
Glyma.01g002400	1	329019	331724
Glyma.01g002500	1	333316	334217
Glyma.01g002600	1	335051	337046
Glyma.01g002700	1	339803	343224
Glyma.01g002800	1	343880	344482
Glyma.01g002900	1	346352	349873
Glyma.01g003000	1	363183	365184
Glyma.01g003100	1	369871	372222
Glyma.01g003200	1	370674	375704
Glyma.01g003300	1	376938	378710
Glyma.01g003400	1	379878	381664
Glyma.01g003500	1	384640	386760
Glyma.01g003600	1	387719	390823
Glyma.01g003700	1	391477	396784
Glyma.01g003800	1	397272	400412
Glyma.01g003900	1	411125	413137
Glyma.01g004000	1	415193	417507
Glyma.01g004100	1	418636	423778
Glyma.01g004200	1	425398	427700
Glyma.01g004300	1	429326	430538
Glyma.01g004400	1	431039	432924
Glyma.01g004500	1	434344	437413
Glyma.01g004600	1	438340	439522
Glyma.01g004700	1	441820	445055
Glyma.01g004800	1	446825	452825
Glyma.01g004900	1	457480	459034
Glyma.01g005000	1	464509	466549
Glyma.01g005100	1	505665	508556
Glyma.01g005200	1	512341	517668
Glyma.01g005300	1	518598	520667
Glyma.01g005400	1	524166	529281
Glyma.01g005500	1	544871	550997
Glyma.01g005600	1	559875	561878
Glyma.01g005700	1	562924	566748
Glyma.01g005800	1	567515	572169
Glyma.01g005900	1	576688	580396
Glyma.01g006000	1	585972	587305
Glyma.01g006100	1	588481	598820
Glyma.01g006200	1	599475	602191
Glyma.01g006300	1	600230	601509
Glyma.01g006400	1	604446	613008
Glyma.01g006500	1	614283	642085
Glyma.01g006600	1	643566	651359
Glyma.01g0067002	1	652561	654690
Glyma.01g0067001	1	655433	658525
Glyma.01g006800	1	664159	668838
