Glyma2.0	Glyma1.1	chromosome_number	start_mb	stop_mb
Glyma.01g000100	Glyma01g00210	1	27355	28320
Glyma.01g000200	NA	1	58975	67527
Glyma.01g000300	NA	1	67770	69968
Glyma.01g000400	Glyma01g00300	1	90152	95947
Glyma.01g000500	NA	1	90289	91197
Glyma.01g000600	Glyma01g00321	1	116094	127845
Glyma.01g000700	Glyma01g00341	1	143467	155573
Glyma.01g000800	Glyma01g00361	1	157030	157772
Glyma.01g000900	Glyma01g00380	1	170534	193342
Glyma.01g001000	Glyma01g00400	1	196256	201895
Glyma.01g001100	Glyma01g00410	1	205453	222233
Glyma.01g001200	Glyma01g00420	1	221661	225775
Glyma.01g001300	Glyma01g00430	1	227021	237987
Glyma.01g001400	Glyma01g00440	1	244111	244455
Glyma.01g001500	Glyma01g00450	1	246904	260666
Glyma.01g001600	Glyma01g00460	1	260356	269483
Glyma.01g001700	Glyma01g00470	1	269071	274045
Glyma.01g001800	Glyma01g00481	1	275426	278431
Glyma.01g001900	Glyma01g00490	1	280963	285491
Glyma.01g002000	Glyma01g00500	1	285907	288571
Glyma.01g002100	Glyma01g00510	1	291328	297375
Glyma.01g002200	Glyma01g00520	1	303812	307964
Glyma.01g002300	Glyma01g00530	1	318431	323032
Glyma.01g002400	Glyma01g00541	1	329019	331724
Glyma.01g002500	Glyma01g00551	1	333316	334217
Glyma.01g002600	Glyma01g00560	1	335051	337046
Glyma.01g002700	Glyma01g00570	1	339803	343224
Glyma.01g002800	Glyma01g00580	1	343880	344482
Glyma.01g002900	Glyma01g00590	1	346352	349873
Glyma.01g003000	Glyma01g00600	1	363183	365184
Glyma.01g003100	Glyma01g00610	1	369871	372222
Glyma.01g003200	Glyma01g00620	1	370674	375704
Glyma.01g003300	NA	1	376938	378710
Glyma.01g003400	Glyma01g00640	1	379878	381664
Glyma.01g003500	Glyma01g00660	1	384640	386760
Glyma.01g003600	Glyma01g00670	1	387719	390823
Glyma.01g003700	Glyma01g00680	1	391477	396784
Glyma.01g003800	Glyma01g00690	1	397272	400412
Glyma.01g003900	Glyma01g00700	1	411125	413137
Glyma.01g004000	Glyma01g00710	1	415193	417507
Glyma.01g004100	Glyma01g00720	1	418636	423778
Glyma.01g004200	Glyma01g00730	1	425398	427700
Glyma.01g004300	Glyma01g00740	1	429326	430538
Glyma.01g004400	Glyma01g00750	1	431039	432924
Glyma.01g004500	Glyma01g00760	1	434344	437413
Glyma.01g004600	NA	1	438340	439522
Glyma.01g004700	Glyma01g00780	1	441820	445055
Glyma.01g004800	Glyma01g00790	1	446825	452825
Glyma.01g004900	Glyma01g00805	1	457480	459034
Glyma.01g005000	Glyma01g00820	1	464509	466549
Glyma.01g005100	Glyma01g00840	1	505665	508556
Glyma.01g005200	Glyma01g00850	1	512341	517668
Glyma.01g005300	Glyma01g00860	1	518598	520667
Glyma.01g005400	Glyma01g00870	1	524166	529281
Glyma.01g005500	Glyma01g00880	1	544871	550997
Glyma.01g005600	Glyma01g00890	1	559875	561878
Glyma.01g005700	Glyma01g00900	1	562924	566748
Glyma.01g005800	Glyma01g00910	1	567515	572169
Glyma.01g005900	Glyma01g00920	1	576688	580396
Glyma.01g006000	Glyma01g00930	1	585972	587305
Glyma.01g006100	Glyma01g00940	1	588481	598820
Glyma.01g006200	Glyma01g00950	1	599475	602191
Glyma.01g006300	NA	1	600230	601509
Glyma.01g006400	Glyma01g00960	1	604446	613008
Glyma.01g006500	Glyma01g00975	1	614283	642085
Glyma.01g006600	Glyma01g00990	1	643566	651359
Glyma.01g0067002	NA	1	652561	654690
Glyma.01g0067001	NA	1	655433	658525
Glyma.01g006800	Glyma01g01010	1	664159	668838
Glyma.01g006900	Glyma01g01020	1	671149	674564
Glyma.01g007000	Glyma01g01030	1	681557	683847
Glyma.01g007100	Glyma01g01050	1	707570	708601
Glyma.01g007200	Glyma01g01060	1	730042	735381
Glyma.01g007300	Glyma01g01070	1	736361	740960
Glyma.01g007400	Glyma01g01080	1	742024	745606
Glyma.01g007500	Glyma01g01090	1	746804	750737
Glyma.01g007600	Glyma01g01101	1	752482	756771
Glyma.01g007700	Glyma01g01110	1	759038	761554
Glyma.01g007800	Glyma01g01120	1	763291	771911
Glyma.01g007900	Glyma01g01130	1	774324	780026
Glyma.01g008000	Glyma01g01140	1	779555	783740
Glyma.01g008100	Glyma01g01150	1	787097	791147
Glyma.01g008200	Glyma01g01160	1	802095	812507
Glyma.01g008300	Glyma01g01165	1	813496	815748
Glyma.01g008400	Glyma01g01170	1	818047	823167
Glyma.01g008500	Glyma01g01180	1	827132	832098
Glyma.01g008600	Glyma01g01190	1	837682	840121
Glyma.01g008700	Glyma01g01210	1	841903	854296
Glyma.01g008800	Glyma01g01220	1	861997	864605
Glyma.01g008900	Glyma01g01230	1	865285	873763
Glyma.01g009000	Glyma01g01240	1	882738	883553
Glyma.01g009100	Glyma01g01251	1	897628	900082
Glyma.01g009200	Glyma01g01260	1	901695	903187
Glyma.01g009300	Glyma01g01270	1	908484	917161
Glyma.01g009400	Glyma01g01280	1	920066	926129
Glyma.01g009500	Glyma01g01291	1	934715	936944
Glyma.01g009600	Glyma01g01300	1	937652	940822
Glyma.01g009700	Glyma01g01310	1	952611	956924
Glyma.01g009800	Glyma01g01330	1	959845	963550
Glyma.01g009900	Glyma01g01340	1	967283	971604
Glyma.01g010000	Glyma01g01350	1	973266	978674
Glyma.01g010100	Glyma01g01360	1	980614	987665
Glyma.01g010200	Glyma01g01370	1	993024	997480
Glyma.01g010300	Glyma01g01380	1	1001210	1006864
Glyma.01g010400	Glyma01g01390	1	1009200	1013846
Glyma.01g010500	Glyma01g01400	1	1018533	1021955
Glyma.01g010600	Glyma01g01410	1	1023389	1026035
Glyma.01g010700	Glyma01g01420	1	1029283	1033685
Glyma.01g010800	Glyma01g01431	1	1036293	1043767
Glyma.01g010900	Glyma01g01440	1	1047531	1051340
Glyma.01g011000	Glyma01g01450	1	1053128	1053792
Glyma.01g011100	Glyma01g01460	1	1057125	1061925
Glyma.01g011200	Glyma01g01470	1	1066465	1073644
Glyma.01g011300	Glyma01g01480	1	1084424	1087061
Glyma.01g011400	Glyma01g01491	1	1087724	1091143
Glyma.01g011500	Glyma01g01500	1	1091564	1095405
Glyma.01g011600	Glyma01g01510	1	1122016	1126673
Glyma.01g011700	Glyma01g01521	1	1130669	1132629
Glyma.01g011800	Glyma01g01530	1	1134872	1136320
Glyma.01g011900	Glyma01g01550	1	1140332	1146805
Glyma.01g012000	Glyma01g01560	1	1157100	1161503
Glyma.01g012100	Glyma01g01570	1	1162070	1167484
Glyma.01g012200	Glyma01g01580	1	1181837	1185096
Glyma.01g012300	Glyma01g01590	1	1193004	1194457
Glyma.01g012400	Glyma01g01601	1	1197820	1201968
Glyma.01g012500	Glyma01g01610	1	1204032	1208621
Glyma.01g012600	Glyma01g01671	1	1207929	1208531
