num	chr	marker	cm	bp	group	h	K
1	Chr01	01_289316	0	289316	1	h001	0.046856037
2	Chr01	01_380123	0.969	380123	1	h00001	NA
3	Chr01	01_392244	0.969	392244	1	h00002	NA
4	Chr01	01_405166	0.969	405166	1	h00003	NA
5	Chr01	01_444971	0.969	444971	1	h00004	NA
6	Chr01	01_482154	1.252	482154	1	h00005	0.099084311
7	Chr01	01_520085	1.82	520085	1	h00006	NA
8	Chr01	01_553690	1.82	553690	1	h00007	NA
9	Chr01	01_563077	1.82	563077	1	h00008	NA
10	Chr01	01_758237	3.377	758237	1	h00009	NA
11	Chr01	01_814631	3.377	814631	1	h00010	NA
12	Chr01	01_776888	3.489	776888	1	h00011	0.337300468
13	Chr01	01_852175	3.712	852175	1	h00012	0.217837172
14	Chr01	01_935824	4.565	935824	1	h00013	0.09519359
15	Chr01	01_1181864	7.23	1181864	1	h00014	NA
16	Chr01	01_1236921	7.23	1236921	1	h00015	NA
17	Chr01	01_1324314	7.23	1324314	1	h00016	NA
18	Chr01	01_1357334	7.798	1357334	1	h00017	0.033474472
19	Chr01	01_1362341	8.366	1362341	1	h00018	NA
20	Chr01	01_1417066	8.366	1417066	1	h00019	NA
21	Chr01	01_1442545	8.935	1442545	1	h00020	NA
22	Chr01	01_1450654	8.935	1450654	1	h00021	NA
23	Chr01	01_1554929	9.27	1554929	1	h00022	0.197440378
24	Chr01	01_1578424	9.551	1578424	1	h00023	NA
25	Chr01	01_1605961	9.551	1605961	1	h00024	NA
26	Chr01	01_1763840	15.63	1763840	1	h00025	0.029579503
27	Chr01	01_1792116	16.482	1792116	1	h00026	0.051947989
28	Chr01	01_1811985	16.763	1811985	1	h00027	NA
29	Chr01	01_1817383	16.763	1817383	1	h00028	NA
30	Chr01	01_1835364	16.763	1835364	1	h00029	NA
31	Chr01	01_2582953	20.552	2582953	1	h00030	0.157751487
32	Chr01	01_2616403	20.835	2616403	1	h00031	0.092365351
33	Chr01	01_2182609	27.355	2182609	1	h00032	NA
34	Chr01	01_2211277	27.355	2211277	1	h00033	NA
35	Chr01	01_1987591	27.638	1987591	1	h00034	NA
36	Chr01	01_1997147	27.638	1997147	1	h00035	NA
37	Chr01	01_2006014	27.638	2006014	1	h00036	NA
38	Chr01	01_2157353	27.638	2157353	1	h00037	NA
39	Chr01	01_2161960	27.638	2161960	1	h00038	NA
40	Chr01	01_2173301	27.638	2173301	1	h00039	NA
41	Chr01	01_1945038	27.922	1945038	1	h00040	0.564928754
42	Chr01	01_2261043	28.891	2261043	1	h00041	NA
43	Chr01	01_2339655	28.891	2339655	1	h00042	NA
44	Chr01	01_2344523	28.891	2344523	1	h00043	NA
45	Chr01	01_2365329	28.891	2365329	1	h00044	NA
46	Chr01	01_2701730	31.904	2701730	1	h00045	0.080586409
47	Chr01	01_2715745	32.187	2715745	1	h00046	NA
48	Chr01	01_2717886	32.187	2717886	1	h00047	NA
49	Chr01	01_2760458	32.471	2760458	1	h00048	NA
50	Chr01	01_2841187	32.471	2841187	1	h00049	NA
51	Chr01	01_2894777	32.471	2894777	1	h00050	NA
52	Chr01	01_2957045	32.753	2957045	1	h00051	NA
53	Chr01	01_2983037	32.753	2983037	1	h00052	NA
54	Chr01	01_3016789	32.753	3016789	1	h00053	NA
55	Chr01	01_3031009	33.321	3031009	1	h00054	NA
56	Chr01	01_3038334	33.321	3038334	1	h00055	NA
57	Chr01	01_3162266	34.767	3162266	1	h00056	0.087457999
58	Chr01	01_3187423	35.049	3187423	1	h00057	0.073806533
59	Chr01	01_3220830	35.621	3220830	1	h00058	0.109564445
60	Chr01	01_3312604	36.192	3312604	1	h00059	NA
61	Chr01	01_3320942	36.192	3320942	1	h00060	NA
62	Chr01	01_3327543	36.476	3327543	1	h00061	0.027082815
63	Chr01	01_3345138	37.045	3345138	1	h00062	NA
64	Chr01	01_3374705	37.045	3374705	1	h00063	NA
65	Chr01	01_3423176	37.327	3423176	1	h00064	0.105159068
66	Chr01	01_3601592	41.969	3601592	1	h00065	0.237719345
67	Chr01	01_3725264	42.252	3725264	1	h00066	0.301820596
68	Chr01	01_4274835	45.55	4274835	1	h00067	0.111664025
69	Chr01	01_4290765	45.831	4290765	1	h00068	NA
70	Chr01	01_4345782	45.831	4345782	1	h00069	NA
71	Chr01	01_4010735	48.172	4010735	1	h00070	0.209717816
72	Chr01	01_3744368	49.136	3744368	1	h00071	0.232443883
73	Chr01	01_3637824	49.701	3637824	1	h00072	NA
74	Chr01	01_3645975	49.701	3645975	1	h00073	NA
75	Chr01	01_3705921	49.701	3705921	1	h00074	NA
76	Chr01	01_3649612	53.954	3649612	1	h00075	0.102054429
77	Chr01	01_3541771	54.519	3541771	1	h00076	NA
78	Chr01	01_3561373	54.519	3561373	1	h00077	NA
79	Chr01	01_3569153	54.519	3569153	1	h00078	NA
80	Chr01	01_3719793	54.8	3719793	1	h00079	0.314932085
81	Chr01	01_3772778	55.365	3772778	1	h00080	NA
82	Chr01	01_3783636	55.365	3783636	1	h00081	NA
83	Chr01	01_3799760	55.365	3799760	1	h00082	NA
84	Chr01	01_3803269	55.365	3803269	1	h00083	NA
85	Chr01	01_3825106	55.365	3825106	1	h00084	NA
86	Chr01	01_3830123	55.365	3830123	1	h00085	NA
87	Chr01	01_3988026	56.802	3988026	1	h00086	0.105137622
88	Chr01	01_4016236	57.083	4016236	1	h00087	NA
89	Chr01	01_4080419	57.083	4080419	1	h00088	NA
90	Chr01	01_4124216	58.52	4124216	1	h00089	0.814574031
91	Chr01	01_40126264	81.04	40126264	1	h00090	NA
92	Chr01	01_40137448	81.04	40137448	1	h00091	NA
93	Chr01	01_40174050	81.04	40174050	1	h00092	NA
94	Chr01	01_40194145	81.04	40194145	1	h00093	NA
95	Chr01	01_40195447	81.04	40195447	1	h00094	NA
96	Chr01	01_40222938	81.04	40222938	1	h00095	NA
97	Chr01	01_40238474	81.04	40238474	1	h00096	NA
98	Chr01	01_40249701	81.04	40249701	1	h00097	NA
99	Chr01	01_40271606	81.04	40271606	1	h00098	NA
100	Chr01	01_40302717	81.04	40302717	1	h00099	NA
101	Chr01	01_40373691	81.04	40373691	1	h00100	NA
102	Chr01	01_40621490	81.04	40621490	1	h00101	NA
103	Chr01	01_40622612	81.04	40622612	1	h00102	NA
